636;   -138; 68; -70;   32; -96; 3312;   -57; -569; -299
1660;   -91; 77; -72;   -16; -96; 3632;   -58; -570; -300
1685;   0; 95; -59;   0; -112; 3680;   -58; -570; -300
1709;   36; 38; -25;   -32; -80; 3680;   -58; -570; -300
1734;   15; 6; -11;   -16; -80; 3728;   -58; -570; -300
1758;   15; 6; -12;   -16; -64; 3680;   -58; -570; -300
1783;   15; 8; -9;   16; -16; 3744;   -58; -572; -301
1807;   18; 4; -15;   32; -64; 3696;   -54; -572; -301
1831;   10; 7; -8;   48; -96; 3696;   -54; -572; -301
1856;   14; -2; -9;   64; -112; 3760;   -54; -572; -301
1880;   18; 7; -15;   48; -96; 3760;   -54; -572; -301
1905;   13; 0; -5;   64; -112; 3744;   -54; -572; -301
1929;   18; 0; -10;   16; -112; 3712;   -57; -570; -301
1953;   12; 6; -12;   32; -128; 3712;   -57; -570; -301
1978;   17; 0; -9;   64; -112; 3728;   -57; -570; -301
2002;   15; 9; -14;   48; -96; 3696;   -57; -570; -301
2027;   13; 8; -8;   64; -80; 3744;   -57; -570; -301
2051;   19; 6; -14;   48; -64; 3712;   -52; -571; -301
2075;   15; 6; -15;   64; -96; 3696;   -52; -571; -301
2100;   15; 7; -9;   48; -64; 3712;   -52; -571; -301
2124;   13; 7; -13;   96; -80; 3728;   -52; -571; -301
2149;   17; 5; -13;   64; -64; 3728;   -52; -571; -301
2173;   14; 8; -10;   32; -64; 3728;   -58; -571; -300
2198;   14; 0; -8;   80; -80; 3712;   -58; -571; -300
2222;   18; 4; -8;   96; -112; 3712;   -58; -571; -300
2246;   17; 4; -9;   64; -96; 3728;   -58; -571; -300
2271;   11; 4; -3;   32; -96; 3712;   -58; -571; -300
2295;   15; 10; -13;   32; -96; 3728;   -58; -571; -300
2320;   17; 6; -13;   16; -96; 3760;   -54; -572; -300
2344;   14; 0; -6;   32; -112; 3744;   -54; -572; -300
2368;   17; 6; -10;   16; -80; 3744;   -54; -572; -300
2393;   15; 3; -15;   32; -80; 3744;   -54; -572; -300
2422;   17; 4; -13;   -16; -48; 3712;   -54; -572; -300
2451;   16; 7; -16;   16; -48; 3696;   -58; -571; -302
2480;   12; 5; -6;   48; -48; 3728;   -58; -571; -302
2510;   18; 3; -13;   32; -48; 3712;   -58; -571; -302
2538;   18; 5; -12;   32; -48; 3712;   -58; -571; -302
2566;   18; 6; -11;   32; -128; 3680;   -54; -568; -301
2594;   14; 7; -5;   16; -96; 3728;   -54; -568; -301
2622;   17; 7; -9;   16; -80; 3776;   -54; -568; -301
2650;   17; 7; -12;   32; -64; 3728;   -54; -568; -301
2678;   18; 7; -11;   48; -128; 3680;   -54; -568; -301
2706;   16; 4; -11;   16; -112; 3696;   -56; -570; -302
2736;   19; 11; -11;   48; -64; 3696;   -56; -570; -302
2764;   19; 11; -16;   32; -96; 3664;   -56; -570; -302
2792;   12; 5; -6;   32; -80; 3696;   -56; -570; -302
2820;   15; 3; -8;   64; -64; 3680;   -56; -570; -302
2848;   18; 11; -11;   64; -112; 3712;   -56; -571; -301
2876;   11; 15; -19;   48; 0; 4384;   -56; -571; -301
2904;   -1; -23; -13;   16; -16; 3840;   -56; -571; -301
2932;   4; -1; -6;   48; -48; 3792;   -56; -571; -301
2961;   24; 13; -11;   32; -112; 3712;   -60; -572; -300
2989;   23; 13; -8;   16; -96; 3664;   -60; -572; -300
3017;   8; -7; -1;   0; -64; 3904;   -60; -572; -300
3045;   14; 2; -9;   16; -96; 3808;   -60; -572; -300
3073;   17; -2; -14;   32; -176; 3648;   -60; -572; -300
